OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,USE_,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,CHRONOLOGY,NOTES,DATE_EDITED,EDITED_BY,OCCUPANT,TENANT,LABEL
1,Markward Playground,Schuylkill River Park,Schuylkill River Park,400-16 S TANEY ST,Land,Recreation Site,,153685.29471662,3.52814301,19103,,1966,,06Jun2014,Nora Dougherty,PPR,,Markward 
2,Schuylkill Banks,Schuylkill Banks,Schuylkill Banks,400-16 S TANEY ST,Land,Park- Linear\Parkway,,658060.84696869,15.10705875,19103,,,,11Feb2015,Nora Dougherty,PPR,,Schuylkill Banks
3,Schuylkill River Park,Schuylkill River Park,Schuylkill River Park,400-16 S TANEY ST,Land,Recreation Site,,327015.24523755,7.50726706,19103,,1966,,16Dec2013,Vanessa Miller,PPR,,Schuylkill River Park
4,Peter's Island,Peter's Island,Peter's Island,,Land,Park- Regional/Watershed,Regional\Watershed,83679.29305106,1.92101992,,,,,22Aug2014,Nora Dougherty,PPR,,Peter's Island
5,Frankford Arsenal Boat Launch,Frankford Arsenal Boat Launch,Frankford Arsenal Boat Launch,5625 Tacony Street,Land,Park- Neighborhood,,477860.28847784,10.97020661,,PA Fish and Boat,2014,,22Aug2014,Nora Dougherty,PPR,,Frankford Arsenal Boat Launch
6,Orthodox Street Parcel,Orthodox Street Parcel,Orthodox Street Parcel,3101 Orthodox Street,Land,Park- Neighborhood,,457597.04880592,10.50502478,,,2014,,22Aug2014,Nora Dougherty,,,Orthodox
7,Wissahickon Valley Park,Wissahickon Valley Park,Wissahickon Valley Park, ,Land,Park- Regional/Watershed, ,88949112.8413902,2043.81972119,19128, ,1867, ,12Nov2013,Vanessa Miller,PPR,,Wissahickon Valley Park
8,West Fairmount Park,West Fairmount Park,West Fairmount Park, ,Land,Park- Regional/Watershed, ,61124064.2157099,1403.22104483,19131, ,1866, ,12Nov2013,Vanessa Miller,PPR,,West Fairmount Park
9,Pennypack Creek Park,Pennypack Creek Park,Pennypack Creek Park, ,Land,Park- Regional/Watershed, ,58572936.1393227,1344.65496859,19152, ,1905-1929, ,12Nov2013,Vanessa Miller,PPR,,Pennypack Creek Park
10,Cobbs Creek Park,Cobbs Creek Park,Cobbs Creek Park, ,Land,Park- Regional/Watershed, ,37055823.2343341,850.68805,19143, ,1904-1928, ,12Nov2013,Vanessa Miller,PPR,,Cobbs Creek Park
11,East Fairmount Park,East Fairmount Park,East Fairmount Park, ,Land,Park- Regional/Watershed, ,28326588.4612519,650.29159247,19121, ,1844, ,12Nov2013,Vanessa Miller,PPR,,East Fairmount Park
12,Tacony Creek Park,Tacony Creek Park,Tacony Creek Park, ,Land,Park- Regional/Watershed, ,13223017.770586,303.55993257,19120, ,1915, ,12Nov2013,Vanessa Miller,PPR,,Tacony Creek Park
13,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S BROAD ST,Land,Park- Metropolitan, ,8746429.90257898,200.79120497,19145, ,1922-1924, ,12Nov2013,Vanessa Miller,PPR,,FDR Park
14,Hunting Park,Hunting Park,Hunting Park,1101 W HUNTING PARK AVE,Land,Park- Community, ,3246603.33243125,74.53205507,19140, ,1854, ,12Nov2013,Vanessa Miller,PPR,,Hunting Park
15,Awbury Park,Awbury Park,Awbury Park,6101 ARDLEIGH ST,Land,Park- Community, ,1226461.75911391,28.15580039,19138,,1920, ,12Nov2013,Vanessa Miller,PPR,,Awbury
16,Fisher Park,Fisher Park,Fisher Park,6000 N 05TH ST,Land,Park- Community, ,1067144.68896532,24.49836909,19120, ,1909, ,12Nov2013,Vanessa Miller,PPR,,Fisher Park
17,Eastwick Regional Park,Eastwick Regional Park,Eastwick Regional Park,80TH ST & MARS PL,Land,Park- Community, ,1017678.54950109,23.36277824,19153, , , ,12Nov2013,Vanessa Miller,PPR,,Eastwick Regional Park
18,Whitby Ave Playground,Whitby Ave Playground,Cobbs Creek Park,1300 COBBS CREEK PKY,Land,Recreation Site, ,203504.69277039,4.67184359,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Whitby Ave 
19,Holme Street Field,Holme Street Field,Pennypack Creek Park,2761 HOLME AVE,Land,Athletic,Multi-Use Sports Field,75854.65720784,1.74139028,19152, , , ,12Nov2013,Vanessa Miller,PPR,,Holme Street Field
20,29th & Passyunk Playground,29th & Passyunk Playground,29th & Passyunk Playground,2827 W PASSYUNK AVE,Land,Recreation Site, ,23125.66037686,0.53089424,19145, , , ,12Nov2013,Vanessa Miller,PPR,,29th & Passyunk 
21,Price Street Play Lot,Price Street Play Lot,Price Street Play Lot,177-85 W PRICE ST,Land,Youth & Tot\Play Areas, ,7358.88983527,0.16893754,19144, , , ,12Nov2013,Vanessa Miller,PPR,,Price Street Play Lot
22,Sedgley Woods Disc Golf,Sedgley Woods Disc Golf,East Fairmount Park,3400 RESERVOIR DR,Land,Athletic,Disc Golf,430994.52798088,9.89431249,19121, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,PR,Sedgley Woods Disc Golf
23,61st & Baltimore Ave Playground,61st & Baltimore Ave Playground,Cobbs Creek Park,6100 BALTIMORE AVE,Land,Recreation Site, ,48928.17307393,1.12324079,19143, , , ,12Nov2013,Vanessa Miller,PPR,,61st & Baltimore Ave 
24,Cobbs Creek Environmental Education Center,Cobbs Creek Park,Cobbs Creek Park,700 COBBS CREEK PKY,Land,Environmental Education Center, ,300849.16552491,6.90657413,19143, , , ,12Nov2013,Vanessa Miller,PPR,,Cobbs Creek Park
25,Al Pearlman Sports Center,Al Pearlman Sports Center,Al Pearlman Sports Center,600 PORT ROYAL AVE,Land,Athletic,Multi-Use Sports Field,291234.00024283,6.68583942,19128, , ,It is a leased property that is owned by PWD,12Nov2013,Vanessa Miller,PPR,,Al Pearlman Sports Center
26,Lauretha Vaird Boys/Girls Club,Lauretha Vaird Boys/Girls Club,Tacony Creek Park,4800 WHITAKER AVE,Land,Other, ,256086.32948602,5.8789567,19120, , , ,26Jun2014,Nora Dougherty,Lessee/Tenants,Boys & Girls Club of Philadelphia,Boys & Girls Club of Philadelphia
27,Torresdale & Enfield Fields,Torresdale & Enfield Fields,Pennypack Creek Park,4600 ENFIELD AVE,Land,Recreation Site,Regional\Watershed,246000.68892875,5.64742133,19136, , , ,12Nov2013,Vanessa Miller,PPR,,Torresdale & Enfield Fields
28,Chamounix Tennis,Chamounix Tennis,West Fairmount Park,3601 CHAMOUNIX DR,Land,Athletic,Tennis Courts,202349.87792546,4.64533258,19131, , , ,12Nov2013,Vanessa Miller,PPR,,
29,Smith Memorial Playground,Smith Memorial Playground,East Fairmount Park,3500 RESERVOIR DR,Land,Recreation Site, ,201277.02008754,4.62070306,19121, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,"Smith Memorial Trust, Wells Fargo Trustee",Smith Memorial Playground
30,Laura Sims Rink,Laura Sims Rink,Cobbs Creek Park,200 S 63RD ST,Land,Ice Rink, ,178181.28048183,4.09049571,19139, ,1904-1928, ,12Nov2013,Vanessa Miller,PPR,,Laura Sims Rink
31,Garland & Bingham Fields,Garland & Bingham Fields,Tacony Creek Park,5153 E TABOR RD,Land,Athletic,Multi-Use Sports Field,171228.20831868,3.9308745,19120, , , ,12Nov2013,Vanessa Miller,PPR,,Garland & Bingham Fields
32,R. Ashburn Field,Franklin D. Roosevelt Park,Franklin D. Roosevelt Park,3500 S BROAD ST,Land,Athletic,Baseball Field,160275.46101424,3.67943301,19145, , , ,12Nov2013,Vanessa Miller,PPR,,Ashburn Field
33,Hammond & Nedro Fields,Hammond & Nedro Fields,Tacony Creek Park,5901 HAMMOND AVE,Land,Athletic,Baseball Field,143784.70328119,3.30085579,19120, , , ,12Nov2013,Vanessa Miller,Lessee/Tenants,Olney Midget & Teen League,Hammond & Nedro
